,tconst,ordering,nconst,category,job,characters
27117737,tt1764625,10,nm0484475,writer,screenplay,\N
27117747,tt1764625,6,nm0529787,writer,screenplay,\N
27117748,tt1764625,7,nm1729366,writer,screenplay,\N
27117749,tt1764625,8,nm0602508,writer,screenplay,\N
27117750,tt1764625,9,nm0309027,writer,screenplay,\N
27873603,tt1833116,6,nm3208946,writer,screenplay by,\N
27873604,tt1833116,7,nm0423626,writer,screenplay by,\N
27873606,tt1833116,8,nm1892927,writer,"based on the novel ""Three Seconds"" by",\N
27873607,tt1833116,9,nm3553816,writer,"based on the novel ""Three Seconds"" by",\N
27984008,tt1837562,6,nm2198611,writer,writer,\N
27984009,tt1837562,7,nm0393495,writer,writer,\N
