,title_id,title,type,num_type
22151,tt0436339,G-Force,"Action-Adventure, Comedy, Family",3
22162,tt8336340,Star Wars Resistance,"Action-Adventure, Animation, Kids",3
22166,tt0458290,Star Wars: The Clone Wars,"Action-Adventure, Animation, Science Fiction",3
22177,tt0094739,Big Business,Comedy,1
22188,tt0377770,Destino,"Animation, Family, Romance",3
22204,tt0106611,Cool Runnings,"Biographical, Comedy, Family",3
22255,tt0147800,10 Things I Hate About You,"Comedy, Coming of Age, Romance",3
22258,tt0211181,102 Dalmatians,"Action-Adventure, Animals & Nature, Family",3
22259,tt1846442,12 Dates of Christmas,"Comedy, Family, Fantasy",3
22262,tt0113198,A Goofy Movie,"Action-Adventure, Animation, Comedy",3
22281,tt0230011,Atlantis: The Lost Empire,"Action-Adventure, Animation, Family",3
22307,tt0105958,Boy Meets World,"Comedy, Coming of Age, Family",3
22317,tt0294425,Cadet Kelly,"Comedy, Coming of Age",2
22345,tt0997047,College Road Trip,"Comedy, Coming of Age, Family",3
22351,tt1090750,Dadnapped,"Comedy, Mystery",2
22353,tt0101076,Darkwing Duck,"Action-Adventure, Animation, Kids",3
22361,tt0130623,Dinosaur,"Action-Adventure, Animation, Family",3
22479,tt1127884,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"Concert Film, Documentary, Music",3
22484,tt0080861,Herbie Goes Bananas,"Action-Adventure, Comedy, Family",3
22485,tt0076137,Herbie Goes to Monte Carlo,"Action-Adventure, Comedy, Family",3
22490,tt0962726,High School Musical 3: Senior Year,"Coming of Age, Family, Musical",3
22492,tt0107120,Hocus Pocus,"Comedy, Family, Fantasy",3
22494,tt0104437,"Honey, I Blew Up the Kid","Comedy, Family, Science Fiction",3
22519,tt0116669,Jack,"Comedy, Coming of Age, Drama",3
22523,tt1865769,Jessie,"Comedy, Coming of Age, Family",3
22543,tt0401398,Kronk's New Groove,"Animation, Comedy, Coming of Age",3
22562,tt0486761,Leroy & Stitch,"Action-Adventure, Animation, Comedy",3
22567,tt0945571,Lifted,"Animation, Comedy, Family",3
22569,tt0457993,Lilo & Stitch 2: Stitch Has a Glitch,"Animation, Comedy, Dance",3
22640,tt0273842,Motocrossed,"Drama, Sports",2
22660,tt0479113,One Man Band,"Animation, Comedy, Family",3
22661,tt0114048,Operation Dumbo Drop,"Action-Adventure, Animals & Nature, Comedy",3
22673,tt0852863,Phineas and Ferb,"Action-Adventure, Animation, Comedy",3
22678,tt5613056,Piper,"Animals & Nature, Animation, Family",3
22696,tt8980868,Purl,"Animation, Comedy, Family",3
22700,tt0382932,Ratatouille,"Animation, Comedy, Family",3
22704,tt0265632,Recess: School's Out,"Animation, Comedy, Family",3
22709,tt0078158,Return from Witch Mountain,"Action-Adventure, Family, Science Fiction",3
22724,tt4661600,Sanjay's Super Team,"Action-Adventure, Animation, Family",3
22727,tt2140373,Saving Mr. Banks,"Biographical, Drama, Historical",3
22741,tt0105417,Sister Act,"Comedy, Crime, Family",3
22753,tt0083481,Spider-Man and His Amazing Friends,"Action-Adventure, Animation, Kids",3
22772,tt0410696,Stuck in the Suburbs,"Comedy, Coming of Age, Music",3
22813,tt1013542,The Cheetah Girls: One World,"Comedy, Coming of Age, Music",3
22816,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Action-Adventure, Family, Fantasy",3
22830,tt0082474,The Great Muppet Caper,"Comedy, Crime, Family",3
22845,tt0097757,The Little Mermaid,"Animation, Family, Fantasy",3
22857,tt0079588,The Muppet Movie,"Action-Adventure, Comedy, Family",3
22858,tt1204342,The Muppets,"Comedy, Family, Kids",3
22870,tt0247638,The Princess Diaries,"Comedy, Coming of Age, Family",3
22875,tt0076618,The Rescuers,"Action-Adventure, Animation, Comedy",3
22879,tt0304669,The Santa Clause 2,"Comedy, Family, Fantasy",3
22883,tt0075200,The Shaggy D.A.,"Comedy, Family, Fantasy",3
22889,tt0073760,The Strongest Man in the World,"Comedy, Family, Science Fiction",3
22925,tt0114709,Toy Story,"Action-Adventure, Animation, Buddy",3
22926,tt0120363,Toy Story 2,"Action-Adventure, Animation, Comedy",3
22938,tt0296251,Tru Confessions,"Coming of Age, Drama",2
22939,tt0283084,Tuck Everlasting,"Coming of Age, Drama, Fantasy",3
22947,tt0361089,Valiant,"Action-Adventure, Animation, Comedy",3
22948,tt1159961,Waking Sleeping Beauty,Documentary,1
22953,tt0096438,Who Framed Roger Rabbit,"Action-Adventure, Animation, Comedy",3
22972,tt3544734,Zapped,"Comedy, Coming of Age, Science Fiction",3
22974,tt0271271,Zenon: The Zequel,"Comedy, Science Fiction",2
22981,tt0249677,Lady and the Tramp II: Scamp's Adventure,"Action-Adventure, Animation, Coming of Age",3
22993,tt1334106,X-Men Origins: Wolverine,"Action-Adventure, Family, Science Fiction",3
22994,tt1078912,Night at the Museum: Battle of the Smithsonian,"Action-Adventure, Comedy, Family",3
