,tconst,ordering,nconst,category,job,characters
14648691,tt1219342,4,nm1120593,actress,\N,"[""Gylfie""]"
14648692,tt1219342,5,nm0811583,director,\N,\N
14648693,tt1219342,6,nm0650089,writer,screenplay,\N
14648694,tt1219342,7,nm2145339,writer,screenplay,\N
14648695,tt1219342,8,nm0489691,writer,"novels ""Guardians of Ga'Hoole""",\N
14648696,tt1219342,9,nm0620502,producer,producer,\N
15295193,tt12411074,10,nm3821986,actor,\N,"[""Reda Ismail (Adult)""]"
15295194,tt12411074,1,nm3943919,actress,\N,"[""Maggie Mckillop""]"
15295195,tt12411074,2,nm1753818,actor,\N,"[""Reefat Ismail""]"
15295196,tt12411074,3,nm4572440,actress,\N,"[""Huwaida""]"
15295197,tt12411074,4,nm9562738,actor,\N,"[""Refaat Ismail""]"
15295198,tt12411074,5,nm1782844,writer,creator,\N
15295199,tt12411074,6,nm1717255,actor,\N,"[""Wahbi""]"
15295200,tt12411074,7,nm11735898,actress,\N,"[""Shiraz""]"
15295201,tt12411074,8,nm8325099,actress,\N,"[""Huwaida Abdel Moniem""]"
15295202,tt12411074,9,nm11616837,actress,\N,"[""Raeefa Ismail""]"
17440661,tt1315981,10,nm0919363,producer,producer,\N
17440662,tt1315981,1,nm0000147,actor,\N,"[""George""]"
17440665,tt1315981,2,nm0000194,actress,\N,"[""Charley""]"
17440666,tt1315981,3,nm0328828,actor,\N,"[""Jim""]"
17440669,tt1315981,4,nm0396558,actor,\N,"[""Kenny""]"
17440670,tt1315981,5,nm1053530,director,\N,\N
17440672,tt1315981,6,nm0410877,writer,novel,\N
17440673,tt1315981,7,nm3179694,writer,written for the screen by,\N
17440676,tt1315981,8,nm0583948,producer,producer,\N
17440677,tt1315981,9,nm0007011,producer,producer,\N
17809548,tt13318052,10,nm5221848,cinematographer,\N,\N
17809549,tt13318052,1,nm2834250,actress,\N,"[""Maggie Quinn""]"
17809550,tt13318052,2,nm0930570,actor,\N,"[""Jack Russo""]"
17809551,tt13318052,3,nm10975905,actor,\N,"[""Party Guest""]"
17809552,tt13318052,4,nm4953889,actress,\N,"[""Deb Clarkson""]"
17809553,tt13318052,5,nm0536609,director,\N,\N
17809554,tt13318052,6,nm4395704,writer,\N,\N
17809555,tt13318052,7,nm0052667,producer,producer,\N
17809556,tt13318052,8,nm0912245,producer,producer,\N
17809557,tt13318052,9,nm2737371,composer,\N,\N
20136676,tt14252964,10,nm0094782,actor,\N,"[""M. Lucchesi""]"
20136677,tt14252964,1,nm2028613,actor,\N,"[""Guillaume Lucchesi""]"
20136678,tt14252964,2,nm0245164,actor,\N,"[""Fred Lucchesi""]"
20136679,tt14252964,3,nm0332267,actor,\N,"[""Da Costa""]"
20136680,tt14252964,4,nm4469165,actress,\N,"[""In猫s Kasmi"",""Sonia""]"
20136681,tt14252964,5,nm2182068,writer,created by,\N
20136682,tt14252964,6,nm2099207,writer,created by,\N
20136683,tt14252964,7,nm3023008,actress,\N,"[""Judith"",""Nora""]"
20136684,tt14252964,8,nm1319365,actor,\N,"[""Ostertag""]"
20136685,tt14252964,9,nm0171499,actor,\N,"[""Kesler""]"
21927570,tt14832996,10,nm10426546,self,\N,"[""Self - Professor of Political Science, University of Waterloo""]"
21927571,tt14832996,1,nm0227759,self,\N,"[""Self - Narrator""]"
21927572,tt14832996,2,nm3225987,self,\N,"[""Self - Professor of Political Science, New York University""]"
21927573,tt14832996,3,nm12748933,self,\N,"[""Self - Professor of Political Science, Carleton University""]"
21927574,tt14832996,4,nm8986517,self,\N,"[""Self - Professor of History, New York University""]"
21927575,tt14832996,5,nm10402795,self,\N,"[""Self - Professor of Psychology, Georgetown University""]"
21927576,tt14832996,6,nm1783797,self,\N,"[""Self - Author and Political Commentator""]"
21927577,tt14832996,7,nm9052094,self,\N,"[""Self - Senior Lecturer, Yale Jackson Institute for Global Affairs""]"
21927578,tt14832996,8,nm12437927,self,\N,"[""Self - Professor of Political Science, New York University""]"
21927579,tt14832996,9,nm1267543,self,\N,"[""Self - Former U.S. Secretary of State""]"
22517894,tt15036416,1,nm12753524,self,\N,"[""Self""]"
22517895,tt15036416,2,nm9103569,director,\N,\N
22517896,tt15036416,3,nm5481937,director,\N,\N
